label	a	b
ICHHVCSCQH01	808 	378 
RMETERELC00	592 	592 
IPPPRODRY01	239 	934 
IPPFINPRO00	571 	571 
IMAINPHYG01	618 	518 
EMSW00	538 	588 
SHHBLRRH01	594 	502 
RCHEHOB00	537 	537 
RDH-SWHSE01	546 	514 
RHNSHTRG01	227 	814 
IISELAFUR02	513 	513 
SLOTELED01	498 	498 
EHYDPMP00	493 	493 
SCKELC000	488 	488 
SCKNGA000	481 	481 
PBOG-SW01	480 	481 
CCSSNS01	587 	371 
PHYGBPELQ01	654 	303 
TFSSPET01	423 	521 
ICMKLND02	495 	434 
RHEBLCRO00	458 	458 
SCSVROFP01	459 	453 
EBOG-LFE00	448 	448 
PHYGNGAL01	838 	58 
RDH-SWHSN01	428 	462 
TADJETE00	441 	441 
PBSTWWSTTRT01	678 	204 
SWHBLRRG01	308 	567 
IMPOILLFO	436 	436 
SLOFEFLU01	435 	435 
RHCSVCAV01	425 	425 
IISBOXFUR01	421 	421 
SHLDRAD00	420 	420 
RHEDHP101	446 	393 
IMPBIODST	418 	418 
SSERVPGAS00	414 	414 
SHHA-CAE00	413 	413 
RCHP-CCGE01	279 	541 
MINOILCRD6	195 	616 
RCHP-STWN01	211 	591 
MINBWODLOG	460 	309 
INDNEUMSC01	414 	347 
IFDCHPBIOS01	151 	601 
TCLPG00	375 	375 
MINBVOFAT	369 	369 
RWEWHTRE00	362 	362 
IISBLAFUR01	356 	358 
IISCASHRM00	356 	356 
RHNDHP401	356 	356 
RCHGOVEN00	350 	350 
ICHCHPBIOS01	20 	673 
PBWODWSTTRT01	417 	266 
ELCIE00	333 	333 
ELCEE00	333 	333 
PBOGBOM01	332 	332 
PBIODST01	335 	320 
RCHP-STWE01	253 	396 
RESLFO01	189 	459 
TFELC01	339 	302 
MINBWHT1	429 	208 
EWNDONS101	353 	283 
IPPPRODRY00	317 	317 
SHLSHTRG00	316 	316 
PETHGRASS01	270 	356 
SHLDHP101	347 	277 
IOIOTHNGA01	348 	273 
ACNINHIBIT01	400 	200 
IPPBOIBIO01	132 	467 
ADISTELC01	298 	298 
ELCBIOCOA01	186 	404 
RHEDHP301	290 	289 
RHNDHP301	292 	287 
ACNEWSPEC01	360 	216 
IOICHPBIOS01		575 
RHESHTRE00	285 	285 
RHEBLRRC00	270 	270 
IOILTHBIOS02		538 
IISTGRBFQ01	333 	205 
TCHBPET00	267 	267 
PRCCOACOK01	262 	264 
MINCOA4	262 	262 
TRADST00	260 	260 
RESKER00	258 	258 
RDH-BLREE01	328 	184 
PPELLBIOS00	240 	250 
RHEDHP201	222 	263 
TRELC00	236 	236 
RHEBLRRW00	234 	234 
IISBLAFUR00	233 	233 
THCNG01	467 	
IOIOTHHCO01	142 	318 
ICMKLNDPC00	224 	224 
IISBLFIMP01	240 	207 
SWLWHTRE00	216 	216 
TADJETN00	213 	213 
EMAINPGAS00	212 	212 
IISHISARQ01	208 	208 
ESTGAACAES01	60 	356 
RHNBLCRO01	211 	199 
INMHTHNGA01	196 	206 
RECOLFRE00	198 	198 
RDH-BLREN01	226 	165 
IOIMOTELC02	195 	195 
TRAPET00	193 	193 
IISSINTER01	192 	192 
INDCOK01	190 	192 
INDWOD01	16 	361 
TRDST00	188 	188 
PWLFMSWBIO00	131 	240 
IOILTHNGA02	228 	140 
RESKER01	110 	257 
SERLFO01	158 	201 
SDH-BLRE01	180 	179 
INDCOA01	150 	206 
TFSLJETIAN01	176 	176 
IISBOXFUR00	172 	172 
RESLPG00	172 	172 
INDNEULPG00	164 	164 
RESWOD00	159 	159 
IPPPROOTH00	158 	158 
IPPPROPRS00	158 	158 
TFSSDST00	158 	158 
ICMGRIMIX00	150 	150 
RHESHTRG00	148 	148 
PETH00	148 	148 
IISBOIBFG01	199 	97 
SHLNSTRE00	146 	146 
IMPELC-IRE	164 	128 
RHNDHP101	146 	144 
SHHBLRRG00	143 	143 
RHNAHBRE01		283 
TRAHFOIS01	98 	182 
RHNREFCG01	119 	156 
INDWODWST01	66 	210 
IOIOTHBIOS01	139 	134 
IFDLTHNGA02	150 	116 
INDCOACOK01	131 	132 
SMETERELC01	132 	131 
TRAJETIA00	130 	130 
ICMKLNOCQR01	26 	233 
ICHHVCSC00	127 	127 
ICHCHPNGA00	127 	127 
TFSSPET00	127 	127 
IMPBGRASS	124 	124 
ICHCHPBIOG01	158 	88 
SHHBLRRE01	186 	59 
EBOG-SWE00	120 	120 
ICHMOTELC02	117 	117 
TRAJETDA01	117 	117 
PBIODST00	117 	117 
IMPCOK	113 	113 
ICHCHPPRO01	117 	106 
IOIDRYBIOS02	32 	190 
ICHAMMSRQ01	115 	107 
ESOLPV00	110 	110 
ELCPELL01	147 	71 
RDH-BLRHE01	129 	73 
AGDBST01	167 	33 
RWNWHTRE01	102 	95 
EOILL00	98 	98 
ICMKLNPCQR02		195 
TFSSDST01	71 	122 
ICMKLND00	96 	96 
IFDCHPBIOG01	53 	135 
IISELAFUR00	91 	91 
MINBSUGAR	91 	91 
IISBOIBIOS01		179 
ESTWWST00	92 	87 
MINBWOD4	96 	80 
SCSVCAVW01	87 	87 
SHLBLRRG00	87 	87 
IMPBVOFAT	108 	65 
IOIOTHNGA00	86 	86 
UCHP-CCG01	86 	86 
UCHP-CCG00	86 	86 
AHTBLRH01	143 	27 
IISFINPRO01	83 	83 
RESCOA00	82 	82 
IISSINTER00	82 	82 
EPOLWST00	78 	81 
EBIOS00	78 	79 
IOIOTHELC01	97 	60 
PWLFMSWORG00	78 	78 
PCHP-CCP00	78 	78 
RESCOK01	78 	74 
PHMSWORG01	105 	47 
INDLFO01	72 	78 
PHYGSTOL01	75 	75 
SCSVLPDT01	74 	74 
RDH-BLRGE01	43 	105 
PVOILRSD01	76 	66 
PRCCOACOK00	71 	71 
SMETERELC00	69 	69 
ICMKLNSW00	67 	67 
IFDCHPCCGT01	9 	126 
IFDOTHNGA01	68 	66 
ELCEI00	67 	67 
ELCII00	67 	67 
SCHP-CCG00	66 	66 
RWESOLRS00	66 	66 
TFSLJETIAN00	66 	66 
TRAHFODS01	51 	80 
IOIMOTELC01	65 	65 
AGRLPG01	76 	52 
RWNWHTRG01	128 	
SDH-BLRG01	9 	111 
RDH-BLRGN01	75 	44 
SCKOTH000	60 	60 
IPPCHPBIOS01	67 	51 
MINBGRASS1	58 	58 
SWHBLRRG00	57 	57 
AGRLFO01	56 	55 
AHTBLRB00	55 	55 
TFSLJETIAE01	55 	55 
INDNEUMSC00	54 	54 
IOIOTHELC00	54 	54 
SHLSHTRO00	54 	54 
IOIHTHELC01	52 	53 
THYGEYSS01	105 	
PWLFMSWINO00	52 	52 
ESTGBALA01		105 
INMCHPBIOS01	52 	52 
RHEREFCG01		104 
INFHTHELC01	55 	47 
INMHTHELC01	51 	51 
RWEWHTRG00	49 	49 
ICMKLNSD00	49 	49 
RDH-BLRHN01	59 	38 
RHEAHPRE00	48 	48 
SHLSHTRE00	47 	47 
IOICHPBIOG01	68 	26 
INDKER01	47 	47 
ICHDRYBIOS02	20 	73 
MINBWOD1	53 	40 
IISFINPRO00	47 	47 
IPPCHPNGA00	47 	47 
INDCOK00	46 	46 
AHTBLRG00	46 	46 
IFDREFEHFO01	45 	45 
IPPCHPBIOG01	42 	48 
SHLBLCRG00	45 	45 
ESTGBNAS01	88 	
ELCMSWORG01	30 	58 
SERLFO00	43 	43 
INFHTHNGA01	42 	44 
SHHVACAE00	42 	42 
TDISTELC00	41 	41 
IOILTHHDG02	38 	44 
INMHTHNGA00	41 	41 
ADISTELC00	41 	41 
IFDOTHHCO01	30 	51 
IFDCHPNGA00	40 	40 
IFDLTHBIOS02	35 	45 
ICHMOTELC01	39 	39 
TFSSHYGS01	79 	
ICHCHPCOA00	39 	39 
RESCOK00	38 	38 
INDMSWINO01	38 	38 
SCHP-STW01		75 
INMCHPBIOG01	11 	63 
IOIDRYNGA02	33 	40 
ICHOTHNGA01	37 	36 
PETHSTWWST01	73 	
IFDMOTELC02	35 	35 
IOIOTHLFO00	35 	35 
RHNDHP201	33 	33 
TRAHFOIS00	33 	33 
ICHREFEHFO01	33 	33 
TFDST00	33 	33 
PRCCOA01	33 	33 
ELCCOA01	28 	37 
AHTBLRG01	65 	
IOIOTHKER00	32 	32 
RESCOA01	31 	33 
IFDLTHHDG02	31 	33 
IPPCHPBIOS00	31 	31 
ICMKLNWST02		62 
IOILTHBIOG02	28 	33 
IOIHTHHCO01	51 	11 
AMAINPGAS00	30 	30 
INDMSWORG01	16 	45 
IOILTHNGA01	30 	30 
SCHP-STW00	30 	30 
IOILTHELC02	24 	34 
SWHWHTRE00	29 	29 
IISHRMIMP01	29 	29 
SERHFO01	29 	29 
AGRLPG00	29 	29 
PBOGSTARCH01	58 	
IFDLTHHFO01	28 	27 
SCSVLTMR01	27 	27 
IOIDRYBIOG02	43 	12 
INDLFO00	27 	27 
UOILTERM01	27 	27 
IISSINHRC01	27 	27 
SERKER01	14 	38 
INDCOA00	26 	26 
INMOTHNGA01	25 	24 
IPPBOINGA01	34 	15 
INMCHPCOG01	49 	
ELCCOA00	24 	24 
INMMOTELC02	24 	24 
TRAETH01	28 	18 
SHHBLRRO00	23 	23 
IOIMOTELC00	23 	23 
ICHLTHNGA02	25 	19 
ICHOTHHCO01	19 	24 
TFSLHFOIS00	21 	21 
TRALFO01	15 	27 
SHLBLRRO00	21 	21 
ETIR101	21 	21 
TFSLHFOIS01	14 	28 
ICHCHPCCGT01		41 
TFSLJETIAE00	20 	20 
ICHDRYNGA02	24 	16 
INDHFO01	20 	20 
IOILTHNGA00	19 	19 
MINCOACOK1	19 	19 
IISBOIHYG01	23 	15 
INDKER00	19 	19 
RHEDHP100	18 	18 
SERPELH01		37 
IOILTHLFO00	18 	18 
MINBWHT2	22 	13 
INMDRYBIOS02	8 	27 
INFHTHELC00	17 	17 
ELCMSWINO00	17 	17 
SCSVPTHM01	17 	17 
IOIDRYELC02	1 	33 
MINBRSEED	17 	17 
IOILTHKER00	17 	17 
RESLFO00	17 	17 
TRABIODST01	17 	16 
ELCMSWORG00	16 	16 
TMAINPGAS01	32 	
SLOTECCL01	16 	16 
TFSLDST01	16 	15 
INMMOTELC01	16 	15 
INMHTHHCO01	9 	21 
SHHBLRRW00	15 	15 
IFDOTHBIOS01	16 	14 
SCHP-GES00	15 	15 
ICHAMMSRA01	9 	21 
SDH-BLRC00	15 	15 
INDCOACOK00	15 	15 
IFDDRYBIOS02	9 	20 
IFDDRYNGA02	15 	13 
SDH-BLRH01	27 	2 
SDH-BLRG00	14 	14 
IOIOTHHCO00	14 	14 
TFSLJETDAE01	13 	13 
IISEAFSPH01	13 	13 
SERMSWORG01	12 	13 
AGRBIODST01	12 	13 
TRALFODS00	13 	13 
INMLTHBIOS02	9 	16 
INFMOTELC02	12 	12 
IFDOTHNGA00	12 	12 
IPPPRSIMP01	12 	12 
TFSLHFODS01	11 	14 
ICHMOTELC00	12 	12 
IOILTHHCO00	12 	12 
IOIOTHLPG00	12 	12 
IISCHPBFG00	11 	11 
IOIHTHNGA00	11 	11 
MINBWODWST	11 	11 
SHLBLCRO00	11 	11 
IFDLTHNGA00	11 	11 
IISBOIBFG00	10 	10 
INMHTHELC00	10 	10 
INDNEULFO01	14 	6 
MINBPOLWST1	10 	10 
TFSSETH01	10 	10 
IFDMOTELC01	10 	10 
INDBENZ01	10 	10 
ICHOTHBIOS01	10 	9 
RCHP-CCGE00	10 	10 
PHPELL01	13 	6 
ICHOTHELC01	11 	8 
TRAJETDA00	9 	9 
IISBOINGA01	5 	14 
IPPBOIHYG01	10 	9 
IOIOTHBENZ01	9 	9 
TFSLDST00	9 	9 
INFOTHNGA01	10 	9 
SHLBLRRW00	9 	9 
PRCCOA00	9 	9 
TRABIODST00	9 	9 
TRALFO00	9 	9 
SHHBLRRE00	9 	9 
TFSLBIOOILIS01	16 	1 
IOIDRYHDG02	15 	2 
AGRLFO00	8 	8 
ICHCHPPRO00	8 	8 
ICHAMMSR00	8 	8 
ICHLTHHFO01	9 	7 
INFHTHNGA00	8 	8 
IOIOTHHDG01	7 	9 
IFDLTHNGA01	14 	1 
IOIDRYLFO00	8 	8 
TRABIOOILIS01	15 	0 
INMOTHBIOS01	8 	7 
INDWODWST00	7 	7 
IISCHPCOG00	7 	7 
ELCLPG01	6 	8 
INDMSWINO00	7 	7 
RESWODL00	7 	7 
IOIDRYKER00	7 	7 
IFDOTHELC01	9 	4 
SHLBLRRW01		13 
TFSLJETDAN01	6 	6 
IOICHPNGA00	6 	6 
IOIHTHELC00	6 	6 
IOIDRYNGA01	9 	4 
TFSLLFODS00	6 	6 
IMPBWODWST	6 	6 
TFSSCNG01	12 	
TRALPG01	6 	6 
UPSLFO00	6 	6 
ELCSTWWST00	8 	4 
ICHDRYHDG02	7 	4 
IPPBOINGA00	6 	6 
SOTHNGA01	5 	7 
SERHFO00	6 	6 
ICHCHPLPG00	5 	5 
SERLPG01	11 	
TFSSBIODST00	5 	5 
TRAETH00	5 	5 
INMOTHNGA00	5 	5 
IOIHTHBIOS01	2 	9 
SHLAHPRE00	5 	5 
TRCOA00	5 	5 
TRALPG00	5 	5 
ELCPELL00	5 	5 
IISBOICOG00	5 	5 
TFSLLFO00	5 	5 
IPPCHPCOA00	5 	5 
INMOTHHCO01	6 	4 
SWHBLRRO00	5 	5 
TFSLHFODS00	5 	5 
TRAHFODS00	4 	4 
IOIDRYNGA00	4 	4 
IOIHTHLFO00	4 	4 
INFHTHHCO01	4 	4 
INMOTHHDG01	4 	5 
ELCLPG00	4 	4 
TFSLJETDAE00	4 	4 
INFMOTELC01	4 	4 
IFDDRYNGA01	5 	4 
SOTHELC01	5 	3 
INDHFO00	4 	4 
IOILTHELC00	4 	4 
INMHTHLFO00	4 	4 
IOIHTHKER00	4 	4 
IOIDRYHCO00	4 	4 
IOIHTHNGA01	8 	
IOIOTHBIOS00	4 	4 
INFOTHBIOS01	4 	4 
INMDRYHFO01	4 	4 
INMCHPNGA00	4 	4 
IOIOTHBENZ00	4 	4 
SERWOD01		7 
ELCMSWINO01		7 
ICHDRYHFO01	3 	4 
IFDDRYHDG02	4 	3 
TFSSETH00	3 	3 
ICHLTHBIOS02		7 
SHHBLRRC00	3 	3 
ICHOTHHDG01	7 	
IOILTHBIOS00	3 	3 
IFDOTHELC00	3 	3 
IOILTHLPG00	3 	3 
SWHBLRRW00	3 	3 
IOILTHBENZ00	3 	3 
IFDREFEHFC00	3 	3 
IOILTHLPG01		6 
IFDMOTELC00	3 	3 
INMLTHNGA02	4 	2 
ICHLTHHDG02	6 	
INFOTHHFO01	3 	3 
SERCOA01	3 	3 
IOIREFEHFO01	3 	3 
INMLTHBIOG02	3 	2 
ESOL00	3 	3 
ICHREFEHFC00	3 	3 
IFDLTHLFO00	3 	3 
IOIDRYLPG01	5 	
SERMSWINO00	3 	3 
INDBENZ00	3 	3 
IFDCHPCOA00	2 	2 
ICHOTHELC00	2 	2 
INFOTHELC00	2 	2 
IISBOIHFO00	2 	2 
INMMOTELC00	2 	2 
ICHLTHELC02		4 
SERCOA00	2 	2 
IOIOTHCOK00	2 	2 
INMHTHHCO00	2 	2 
INFOTHHCO01	2 	2 
TFSLJETDAN00	2 	2 
IFDLTHBIOG02	2 	2 
INDMSWORG00	2 	2 
INMDRYNGA02	2 	2 
INMCHPCOG00	2 	2 
IISBLFIMP02	2 	2 
INMLTHHFO01	2 	2 
SERMSWORG00	2 	2 
TFSSLPG00	2 	2 
INFOTHELC01	2 	2 
IPPBOICOA00	2 	2 
IOILTHCOK00	2 	2 
IOIHTHLPG00	2 	2 
INDNEULFO00	2 	2 
IFDOTHLFO00	2 	2 
IPPCHPWST00	2 	2 
ELCLFO01	2 	1 
ELCHFO01	2 	2 
IOIOTHHFO00	2 	2 
INMDRYBIOG02	2 	1 
INMLTHHDG02	1 	1 
AHTBLRO00	1 	1 
RDH-BLRGE00	1 	1 
INMOTHELC00	1 	1 
INMDRYHDG02	1 	1 
IOIDRYLPG00	1 	1 
SHLBLRRC00	1 	1 
INFOTHNGA00	1 	1 
INFMOTELC00	1 	1 
IFDLTHELC00	1 	1 
IFDDRYNGA00	1 	1 
ICHCHPBIOS00	1 	1 
TFSSBIODST01	2 	1 
ENGAQR01	2 	
IFDDRYBIOG02	2 	0 
IOIDRYBIOS00	1 	1 
TFSLLFO01		2 
ICHLTHNGA01	2 	
IOIDRYBENZ00	1 	1 
TFELC00	1 	1 
TRACOA00	1 	1 
IOICHPBIOS00	1 	1 
IFDCHPBIOS00	1 	1 
ICHHTHNGA01	1 	1 
RNWSOL	1 	1 
IFDOTHHDG01	1 	1 
TFSSLPG01	1 	1 
TFSLBIODST01	1 	1 
ICHDRYBIOG02	2 	
INDPOLWST00	1 	1 
ICHLTHBIOG02	2 	
ELCLFO00	1 	1 
IOILTHHFO00	1 	1 
SWHBLRRC00	1 	1 
INMOTHLFO00	1 	1 
INMOTHELC01	1 	
ICHHTHHCO01	1 	1 
IOIDRYELC00	1 	1 
UPSLFO01	1 	1 
INMLTHNGA00	1 	1 
AGRHFO00	1 	1 
IOIDRYCOK00	1 	1 
INFHTHHFO00	1 	1 
INFHTHLFO00	1 	1 
INMDRYNGA00	1 	1 
IFDLTHHCO00	1 	1 
INFHTHHCO00	1 	1 
IFDDRYHFO01	1 	
MINBGRASS2	0 	0 
IFDLTHHFO00	0 	0 
ICHLTHELC00	0 	0 
IOIOTHBIOG00	0 	0 
IISCHPNGA00	0 	0 
IOIDRYHFO00	0 	0 
TFSLBIODST00	0 	0 
IFDDRYLFO00	0 	0 
MINMSWINO	0 	0 
IFDOTHHFO00	0 	0 
AHTBLRC00	0 	0 
IOIHTHHCO00	0 	0 
ICHHTHELC01	0 	0 
IOIREFEHFC00	0 	0 
ICHHTHHCO00	0 	0 
ICHDRYELC00	0 	0 
ICHCHPLFO00	0 	0 
ICMPCL01	0 	0 
ICHDRYNGA01		0 
IOIHTHHFO00	0 	0 
AGRHFO01	0 	0 
IFDCHPHFO00	0 	0 
IFDOTHHCO00	0 	0 
ICHCHPHFO00	0 	0 
TRALFODS01	0 	0 
IFDDRYELC00	0 	0 
INMLTHLFO00	0 	0 
ICHCHPCOA01		0 
INMDRYLFO00	0 	0 
MINMSWORG	0 	0 
IFDCHPLFO00	0 	0 
IOICHPHFO00	0 	0 
INFOTHHFO00	0 	0 
INFOTHLFO00	0 	0 
IOILTHBIOG00	0 	0 
MINMSWBIO	0 	0 
INFOTHHCO00	0 	0 
EMANOCT00	0 	0 
ICHHTHELC00	0 	0 
IOIHTHBIOS00	0 	0 
INMLTHELC00	0 	0 
IOIHTHBENZ00	0 	0 
INMDRYELC00	0 	0 
IISCHPHFO00	0 	0 
IFDDRYHCO00	0 	0 
TFSLLFODS01	0 	0 
RNWGEO	0 	0 
IFDDRYHFO00	0 	0 
MINBOG-LF	0 	0 
EOILS00	0 	0 
IOIHTHCOK00	0 	0 
ALUFOR01	0 	0 
IOIDRYBIOG00	0 	0 
ENGAOCT00	0 	0 
RHEBLRRE00	0 	0 
IOIHTHBIOG00	0 	0 
RNWTID	0 	0 
EHYD01	0 	0 
ECOARR01	0 	0 
EOILS01	0 	0 
IMPBVOIL	0 	0 
RWESA00	0 	0 
IOIDRYSTM00	0 	0 
PWLFLEGACY00	0 	0 
RELITCON00	0 	0 
RHESTGNT00	0 	0 
IFDDRYSTM00	0 	0 
AELC00	0 	0 
IOILTHSTM00	0 	0 
IFDOTHSTM00	0 	0 
UNGAD00	0 	0 
SLOTECCL00	0 	0 
IFDLTHSTM00	0 	0 
INMDRYSTM00	0 	0 
SCSVACON01	0 	0 
IOIOTHSTM00	0 	0 
SWLDSTD00	0 	0 
SHLSTGNT00	0 	0 
SLOFEFLU00	0 	0 
RHESA00	0 	0 
SCPECOMP00	0 	0 
RELITENS00	0 	0 
ATRA00	0 	0 
RELITLED00	0 	0 
INMOTHSTM00	0 	0 
INMLTHSTM00	0 	0 
REAUDVIS00	0 	0 
ETRANSGAS00	0 	0 
SOTHELC00	0 	0 
REOTHER01	0 	0 
RCEOTHER00	0 	0 
RECOMPUT00	0 	0 
REOTHER00	0 	0 
SOTHNGA00	0 	0 
ALU00	0 	0 
SHLDSTD00	0 	0 
EXPELC-IRE	-9 	-20 
EXPELC-EU	-20 	-72 
EXPCOK	-255 	-255 
EXPOILJET	-430 	-430 
EXPOILKER	-334 	-585 
ACTILLAGE01	-530 	-530 
AGDMANION01	-553 	-553 
EXPCOA	-598 	-821 
EXPOILLPG	-1393 	-1274 
ACFERT01	-2677 	-2677 
EXPETH	-2380 	-3075 
EXPOILCRD2	-2863 	-2863 
EXPCOA-E	-5350 	-5713 
AGBGENION01	-6989 	-6989 
EXPOILDST	-8069 	-9563 
